customer_id,total_purchases,avg_order_value,days_since_last_purchase,total_spend,purchase_frequency_monthly,num_categories_bought,num_returns,true_segment
1502,27,210.46,22,3302.8,2.74,3,2,Loyal
2587,15,53.67,126,1252.06,1.38,4,3,At Risk
2654,12,130.59,114,1768.9,0.81,3,2,At Risk
1056,19,125.14,67,3079.93,3.2,5,2,Loyal
706,36,531.28,7,9369.96,3.1,6,0,Champions
107,37,398.25,19,9470.56,4.52,9,0,Champions
590,55,326.1,25,6115.12,5.4,8,0,Champions
2469,28,284.28,48,4010.42,3.11,3,0,Loyal
2414,29,216.48,41,1534.51,2.19,3,0,Loyal
1601,21,101.96,64,3168.93,2.57,5,1,Loyal
2465,18,175.48,62,3888.73,3.26,4,2,Loyal
229,52,470.97,23,8945.76,3.02,7,1,Champions
916,57,560.67,29,10717.46,3.45,9,1,Champions
795,52,515.76,3,5711.58,3.66,9,0,Champions
3022,7,126.54,103,1288.06,0.7,2,2,At Risk
3544,7,147.76,117,1448.87,1.04,4,2,At Risk
1074,28,255.17,70,3297.24,3.0,3,1,Loyal
3352,9,136.23,111,1977.69,0.66,2,3,At Risk
1745,29,180.36,41,3150.39,2.85,4,0,Loyal
1085,15,151.38,79,2257.05,2.07,4,0,Loyal
927,57,497.35,2,8340.5,3.78,8,1,Champions
3050,13,76.93,101,876.46,0.61,4,1,At Risk
1118,24,188.73,81,3632.56,1.96,3,2,Loyal
643,51,462.38,10,9738.1,5.9,7,0,Champions
4768,5,54.69,276,495.64,0.12,1,0,Lost
502,52,319.61,22,13225.35,5.85,7,0,Champions
4067,1,68.48,324,257.83,0.32,1,1,Lost
334,47,411.99,23,12562.14,5.29,9,1,Champions
4685,5,34.51,261,371.89,0.16,2,0,Lost
487,31,591.32,26,11404.76,4.11,8,1,Champions
1963,22,219.98,47,1876.46,1.66,6,2,Loyal
394,43,341.81,21,14440.42,3.83,7,0,Champions
4843,1,68.48,225,132.9,0.14,2,0,Lost
4867,1,69.07,271,590.94,0.32,2,0,Lost
1756,17,283.39,80,2320.07,1.66,3,0,Loyal
2516,18,126.79,166,509.89,0.96,2,3,At Risk
3586,8,141.11,165,1584.23,1.28,4,1,At Risk
4316,5,52.77,305,340.42,0.36,1,1,Lost
4967,6,60.02,312,357.38,0.14,2,0,Lost
